,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year,popularity,artist
3961,0.582,0.289,11,-13.123,0,0.0398,0.813,0.000436,0.084,0.189,67.487,189598,2016,1,Billie Eilish
3962,0.684,0.774,7,-5.951,1,0.188,0.26,0,0.108,0.448,84.991,175059,2016,62,Louis The Child
3963,0.597,0.544,2,-6.711,1,0.0859,0.0145,3.02E-06,0.127,0.607,177.807,187915,2016,0,SAFIA
3964,0.62,0.93,8,-5.615,1,0.0486,0.0662,0,0.0788,0.675,126.041,206920,2016,66,American Authors
3965,0.619,0.869,8,-4.458,1,0.0403,0.0217,0,0.359,0.686,103.998,191280,2016,52,American Authors
3966,0.63,0.77,6,-4.88,1,0.0326,0.00852,0,0.345,0.681,110.027,181773,2016,45,American Authors
3967,0.667,0.566,5,-6.388,1,0.0423,0.0766,0,0.183,0.354,125.015,212547,2016,52,American Authors
3968,0.665,0.875,1,-4.272,1,0.0426,0.00939,0,0.0897,0.66,122.008,169027,2016,58,American Authors
3969,0.619,0.825,2,-7.05,1,0.105,0.318,0,0.17,0.596,120.048,243347,2016,41,American Authors
3970,0.618,0.751,1,-4.642,0,0.0328,0.00352,0,0.194,0.679,123.975,213000,2016,44,American Authors
3971,0.608,0.945,11,-3.858,1,0.0483,0.00433,0,0.0773,0.682,115.933,180213,2016,57,American Authors
3972,0.588,0.805,0,-5.411,1,0.0437,0.106,0,0.113,0.45,115.019,248107,2016,43,American Authors
3974,0.453,0.914,1,-3.445,1,0.0825,0.0018,0,0.349,0.504,129.841,175680,2016,48,NEEDTOBREATHE
3977,0.387,0.843,0,-4.221,0,0.0539,0.0231,0,0.503,0.378,168.149,214627,2016,20,NEEDTOBREATHE
3978,0.614,0.89,11,-4.475,0,0.0454,0.0631,0.000863,0.214,0.538,99.017,205493,2016,50,Against The Current
3979,0.557,0.932,10,-2.519,1,0.0675,0.00538,0,0.0919,0.812,114.995,216000,2016,44,Against The Current
3981,0.774,0.714,7,-3.53,1,0.0289,0.257,0.000312,0.0879,0.535,120.968,178747,2016,47,Against The Current
3982,0.448,0.93,9,-2.282,1,0.121,2.73E-05,0,0.352,0.473,159.986,222973,2016,45,Against The Current
3991,0.519,0.546,9,-7.42,1,0.0306,0.0127,0,0.093,0.302,94.971,207640,2016,31,LeAnn Rimes
3994,0.667,0.58,5,-6.412,1,0.0286,0.605,0.000231,0.0849,0.579,76.241,160097,2016,12,The Lumineers
3995,0.553,0.843,7,-3.365,1,0.0627,0.137,2.25E-06,0.14,0.63,99.194,192400,2016,54,Miike Snow
3999,0.463,0.766,6,-5.383,1,0.0511,0.00649,1.66E-05,0.581,0.173,184.075,230747,2016,3,The Naked And Famous
4004,0.56,0.797,0,-3.867,1,0.0478,0.00612,0,0.452,0.557,119.894,211464,2016,0,Feed Me
4005,0.518,0.947,5,-2.979,1,0.0396,0.00153,0,0.336,0.629,141.023,213947,2016,38,Biffy Clyro
4006,0.68,0.395,2,-6.643,1,0.0328,0.368,0,0.112,0.48,125.082,241893,2016,0,Shawn Mendes
4007,0.606,0.909,11,-4.016,1,0.165,0.00262,0.000694,0.105,0.43,120.985,192560,2016,0,Clean Cut Kid
4008,0.648,0.762,4,-5.116,1,0.0667,0.0441,0,0.127,0.581,87.969,226973,2016,41,Phoebe Ryan
4009,0.363,0.487,1,-5.32,1,0.0396,0.508,0,0.131,0.369,161.503,224255,2016,0,Caitlyn Smith
4010,0.543,0.752,10,-5.16,1,0.0406,0.000263,0.00243,0.342,0.271,130.045,221507,2016,0,Secret Weapons
4011,0.813,0.596,11,-8.02,1,0.036,0.296,0.0216,0.26,0.569,121.947,191587,2016,23,Mary Lambert
4012,0.459,0.788,9,-4.707,0,0.157,0.297,0,0.194,0.349,94.326,194589,2016,42,Steve James
4013,0.651,0.884,1,-3.557,1,0.0326,0.0482,0.154,0.135,0.377,125.998,200952,2016,0,Steve Aoki
4014,0.676,0.655,2,-5.705,0,0.0496,0.00091,0,0.224,0.371,118.673,198480,2016,54,Olly Murs
4015,0.376,0.621,1,-5.237,0,0.043,0.0144,0.00013,0.603,0.228,81.226,233520,2016,1,Local Natives
4016,0.634,0.746,4,-8.574,1,0.0352,0.0601,1.51E-05,0.103,0.513,134.048,217933,2016,44,Biffy Clyro
4017,0.608,0.556,6,-6.967,1,0.0299,0.702,0.000384,0.113,0.376,132.748,212053,2016,24,Saint Clair
4018,0.623,0.876,2,-4.839,0,0.0305,0.00193,0,0.0803,0.175,103.978,204940,2016,41,Emarosa
4019,0.526,0.587,7,-6.73,1,0.0307,0.384,1.22E-05,0.207,0.417,130.022,256360,2016,0,Butch Walker
4020,0.608,0.549,2,-7.761,1,0.101,0.0791,0,0.349,0.279,70.157,201464,2016,1,Samm Henshaw
4021,0.721,0.925,4,-3.539,0,0.0455,0.0652,0.000158,0.292,0.355,114.032,181748,2016,50,Thomas Jack
4022,0.516,0.179,10,-10.777,1,0.04,0.904,0.00109,0.103,0.0915,128.582,247546,2016,48,HONNE
4023,0.597,0.491,0,-9.197,1,0.0297,0.00256,0.355,0.0939,0.427,180.165,206737,2016,11,Shapes in Calgary
4024,0.746,0.721,2,-5.048,0,0.061,0.0635,1.12E-06,0.123,0.553,124.012,166452,2016,41,The Him
4025,0.405,0.77,11,-5.211,0,0.112,0.0591,1.12E-05,0.128,0.722,87.861,186797,2016,0,CADE
4028,0.568,0.654,0,-7.114,1,0.0481,0.332,0.00349,0.0575,0.464,85.009,224500,2016,29,Secret Nation
4029,0.429,0.728,6,-4.468,0,0.0577,0.00271,0.000103,0.104,0.307,74.961,236653,2016,17,Jeff Beck
4030,0.645,0.435,6,-5.371,0,0.0276,0.122,0.000101,0.0989,0.328,83.993,164587,2016,24,LOLO
4031,0.551,0.839,5,-2.461,0,0.0578,0.0241,0.00391,0.0874,0.314,141.976,290704,2016,54,Jauz
4032,0.368,0.707,10,-6.253,0,0.436,0.606,0.000122,0.183,0.215,74.905,182337,2016,6,Molly Moore
4035,0.622,0.738,5,-3.456,1,0.0329,0.462,0,0.137,0.752,65.012,147772,2016,36,Ledinsky
4036,0.665,0.579,2,-4.551,1,0.0493,0.00741,3.83E-06,0.293,0.527,155.989,174242,2016,30,Jocelyn Alice
4037,0.697,0.7,7,-6.651,0,0.0985,0.157,0,0.217,0.577,123.013,231266,2016,53,Britney Spears
4038,0.695,0.615,4,-4.194,1,0.104,0.379,0,0.104,0.532,99.817,181880,2016,15,Hailee Steinfeld
4039,0.603,0.879,5,-4.098,1,0.124,0.0184,0,0.156,0.318,110.125,228253,2016,64,Snakehips
4040,0.828,0.777,7,-3.356,1,0.0513,0.0901,0,0.0973,0.867,120.04,216093,2016,50,5 Seconds of Summer
4041,0.687,0.728,7,-4.58,1,0.333,0.0897,0,0.12,0.43,174.82,177441,2016,44,Cher Lloyd
4042,0.573,0.69,6,-7.081,1,0.0293,0.00173,0.275,0.376,0.0931,88.984,175281,2016,41,Super Duper
4043,0.565,0.461,0,-7.273,1,0.141,0.586,0,0.162,0.199,157.894,238933,2016,0,Regina Spektor
4044,0.719,0.737,2,-5.219,1,0.032,0.0711,0.00285,0.304,0.368,127.991,313580,2016,1,Pierce Fulton
4045,0.608,0.798,6,-5.092,0,0.0432,0.0736,0,0.156,0.501,92.943,185360,2016,70,Major Lazer
4046,0.403,0.953,5,-3.213,0,0.118,9.64E-05,0,0.0915,0.364,160.036,213035,2016,58,Neck Deep
4047,0.713,0.739,7,-3.483,0,0.0669,0.0305,0.000103,0.321,0.428,143.991,233742,2016,0,THEY.
4048,0.655,0.683,5,-6.259,0,0.047,0.0247,0,0.31,0.421,120.984,235686,2016,38,Kehlani
4049,0.695,0.837,1,-5.617,0,0.281,0.245,0,0.367,0.639,115.067,244174,2016,60,Pitbull
4050,0.523,0.72,3,-5.929,1,0.0384,0.0233,0.00282,0.225,0.302,103.058,240329,2016,0,O.A.R.
4055,0.443,0.566,6,-7.309,0,0.0279,0.12,0.0213,0.112,0.357,167.949,208730,2016,0,Stalgia
4056,0.597,0.724,2,-8.099,1,0.06,0.0424,0.000237,0.0804,0.737,90,165160,2016,16,BLAJK
4057,0.689,0.828,4,-3.872,0,0.0556,0.02,2.24E-05,0.248,0.239,121.051,201280,2016,33,DENM
4058,0.708,0.952,9,-1.879,0,0.0334,0.0108,0.000374,0.146,0.738,125.948,205119,2016,37,Sultan + Shepard
4059,0.682,0.644,8,-6.634,1,0.128,0.236,0,0.0798,0.637,91.023,281493,2016,0,Lupe Fiasco
