,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year,popularity
60,0.653,0.445,0,-7.183,0,0.0413,0.31,0,0.116,0.176,144.02,216493,2014,54
61,0.861,0.33,6,-7.194,1,0.0526,0.627,1.93E-06,0.14,0.718,95.016,216000,2016,75
62,0.613,0.903,10,-3.394,1,0.185,0.495,0.00166,0.0397,0.599,131.034,188093,2014,0
63,0.514,0.774,7,-5.569,1,0.279,0.343,0,0.28,0.604,116.037,159533,2015,55
64,0.732,0.871,1,-3.626,1,0.172,0.145,0,0.0567,0.931,158.052,160880,2016,59
65,0.641,0.615,6,-5.363,0,0.045,0.0928,0,0.0949,0.129,119.899,218160,2016,50
66,0.655,0.662,7,-4.336,0,0.0554,0.451,2.72E-05,0.0773,0.581,106,264613,2016,54
67,0.75,0.76,5,-3.583,1,0.0634,0.631,0,0.0724,0.788,141.043,191093,2016,54
68,0.619,0.786,0,-3.067,1,0.0512,0.537,0,0.213,0.542,98.001,267813,2016,42
69,0.627,0.947,2,-3.175,1,0.175,0.165,0,0.149,0.859,167.998,312333,2016,51
70,0.542,0.937,7,-3.14,1,0.114,0.0993,0,0.0755,0.712,165.087,251627,2016,42
71,0.786,0.735,0,-4.502,0,0.0495,0.362,0,0.176,0.747,110.124,229640,2017,56
72,0.44,0.413,0,-7.365,0,0.0407,0.105,3.40E-05,0.0997,0.141,86.911,258188,2017,71
73,0.671,0.71,7,-6.749,1,0.276,0.00388,1.58E-06,0.14,0.711,98.074,197253,2016,62
74,0.764,0.759,8,-4.494,1,0.244,0.216,0,0.308,0.762,143.037,230280,2015,0
75,0.219,0.151,1,-14.097,1,0.0366,0.933,8.35E-05,0.235,0.111,82.019,267318,2015,44
76,0.758,0.944,2,-1.541,0,0.0696,0.0949,6.49E-06,0.402,0.696,119.97,165147,2010,49
77,0.333,0.328,0,-9.39,1,0.0346,0.716,4.01E-05,0.3,0.0743,121.109,272027,2017,1
78,0.489,0.54,6,-7.046,1,0.0288,0.126,0,0.103,0.27,81.4,227928,2017,7
79,0.703,0.696,0,-5.482,1,0.0529,0.0375,5.65E-06,0.274,0.366,121.969,205947,2018,24
80,0.736,0.756,11,-7.099,1,0.047,0.00632,0.00577,0.106,0.712,117.016,231847,2018,14
81,0.589,0.714,7,-6.308,1,0.258,0.0551,0.00013,0.131,0.42,118.611,189360,2018,14
82,0.879,0.544,6,-5.667,0,0.151,0.0149,1.14E-05,0.0291,0.67,99.005,228400,2018,3
83,0.604,0.673,1,-5.979,1,0.0545,0.0268,3.32E-05,0.187,0.287,144.971,197573,2018,15
84,0.46,0.435,10,-6,1,0.0868,0.837,0,0.11,0.231,184.049,302733,2014,32
85,0.657,0.71,4,-7.119,0,0.0416,0.0115,0.0624,0.238,0.55,163.98,211160,2018,35
86,0.724,0.647,1,-5.642,1,0.0658,0.28,0,0.102,0.435,106.96,207333,2018,29
87,0.892,0.507,0,-8.282,1,0.378,0.704,3.14E-05,0.109,0.695,143.96,158587,2019,74
88,0.729,0.475,8,-4.985,1,0.0364,0.378,0,0.12,0.371,62.52,212267,2019,78
89,0.647,0.309,7,-7.948,0,0.0366,0.78,7.41E-06,0.202,0.195,87.045,171573,2019,78
90,0.747,0.458,6,-6.891,1,0.303,0.451,0,0.252,0.47,75.029,182000,2019,78
91,0.758,0.665,2,-5.188,0,0.0774,0.0815,0.000157,0.216,0.643,151.976,216893,2019,76
92,0.45,0.619,9,-7.412,1,0.372,0.329,0,0.319,0.427,83.3,208880,2019,75
93,0.847,0.579,1,-5.314,1,0.0719,0.0268,0.0545,0.102,0.569,137.998,267107,2019,76
94,0.287,0.364,9,-8.295,1,0.0306,0.418,1.80E-05,0.185,0.11,103.777,271467,2019,75
95,0.662,0.6,0,-6.402,1,0.0703,0.173,0.000137,0.109,0.331,134.979,222947,2019,76
96,0.778,0.317,1,-10.732,0,0.334,0.592,0,0.0881,0.327,140.048,178627,2019,90
97,0.643,0.721,1,-5.248,1,0.0449,0.00268,6.51E-06,0.0898,0.317,102.914,190107,2019,81
98,0.4,0.795,10,-3.731,0,0.461,0.119,0,0.159,0.702,190.097,186107,2019,88
