danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year,popularity
0.396,0.473,10,-7.67,0,0.0345,0.326,0.000124,0.109,0.385,133.449,1967,72
0.684,0.481,2,-12.59,1,0.0384,0.475,6.57E-05,0.118,0.784,115.078,1967,12
0.346,0.797,4,-7.805,1,0.0888,0.0399,2.17E-05,0.0728,0.196,130.91,1967,55
0.409,0.172,6,-16.44,0,0.0389,0.922,0.00112,0.111,0.352,132.151,1967,66
0.543,0.395,9,-11.396,1,0.0267,0.701,4.24E-05,0.0961,0.231,94.872,1967,61
0.438,0.71,2,-12.412,1,0.0919,0.262,0.537,0.221,0.53,145.928,1968,75
0.662,0.527,10,-9.088,1,0.0418,0.155,0,0.274,0.403,126.055,1968,51
0.575,0.412,0,-12.685,0,0.0387,0.281,0,0.0973,0.396,123.172,1968,51
0.259,0.241,2,-15.955,1,0.042,0.554,6.62E-06,0.0849,0.275,178.453,1968,67
0.606,0.457,6,-14.035,0,0.0497,0.713,2.53E-05,0.0747,0.813,92.033,1968,78
0.51,0.488,7,-10.304,1,0.0304,0.256,0,0.11,0.649,125.683,1968,70
0.703,0.529,7,-11.112,1,0.1,0.0168,0.000573,0.911,0.772,128.057,1968,63
0.63,0.519,9,-10.997,1,0.0528,0.225,4.30E-06,0.0974,0.502,143.942,1968,22
0.405,0.463,0,-16.167,1,0.0542,0.00379,0.0442,0.392,0.542,79.451,1968,63
0.438,0.805,8,-6.237,1,0.0624,0.00255,5.69E-05,0.0842,0.564,113.253,1968,78
0.566,0.482,6,-13.047,1,0.0411,0.301,0,0.269,0.856,109.046,1968,25
0.566,0.673,9,-10.814,1,0.306,0.565,1.13E-06,0.0438,0.583,114.385,1968,24
0.799,0.662,7,-8.585,1,0.0347,0.00482,0.000505,0.0484,0.717,120.082,1969,67
0.399,0.946,2,-6.998,1,0.164,0.0572,6.77E-06,0.73,0.447,175.009,1969,50
0.271,0.553,2,-9.526,1,0.0472,0.044,0.0096,0.0999,0.433,86.762,1969,64
0.476,0.717,9,-9.192,1,0.0949,0.0382,7.61E-05,0.0818,0.753,93.584,1969,72
0.237,0.096,2,-20.629,0,0.0387,0.971,0.0961,0.203,0.0629,128.054,1969,38
0.249,0.0994,6,-19.266,0,0.04,0.959,0.926,0.454,0.0357,118.99,1969,36
0.253,0.166,9,-16.624,1,0.0346,0.945,0.862,0.135,0.0489,83.971,1969,36
0.538,0.378,9,-14.117,0,0.0387,0.934,0.758,0.456,0.16,117.185,1969,35
0.406,0.219,7,-13.155,1,0.0359,0.808,0.599,0.15,0.271,105.345,1969,37
0.374,0.292,6,-9.404,0,0.0319,0.869,0.000581,0.108,0.497,169.68,1969,49
0.401,0.498,4,-10.682,1,0.0757,0.394,0,0.13,0.816,181.701,1969,63
0.52,0.179,11,-21.976,0,0.0454,0.356,0.00344,0.131,0.407,155.746,1969,62
0.55,0.947,8,-6.983,1,0.0735,0.000596,0.0177,0.0999,0.61,127.609,1969,45
0.537,0.716,2,-8.766,1,0.038,0.0192,0,0.245,0.452,122.873,1969,12
0.647,0.762,2,-5.856,1,0.0287,0.0599,3.35E-06,0.0705,0.93,89.837,1969,25
0.574,0.918,3,-7.987,1,0.0572,0.045,0.204,0.0843,0.689,137.28,1969,6
0.72,0.716,9,-8.773,1,0.0723,0.226,0.00335,0.0932,0.953,144.376,1969,62
0.474,0.343,7,-12.138,1,0.0298,0.0225,0.00704,0.152,0.607,114.877,1969,13
0.413,0.289,10,-14.802,1,0.0324,0.767,0.0271,0.121,0.439,89.027,1969,3
0.412,0.902,9,-11.6,1,0.405,0.0484,0.131,0.405,0.422,89.74,1969,78
0.643,0.669,0,-7.485,1,0.0398,0.208,0.00664,0.151,0.609,132.709,1969,22
0.63,0.616,1,-8.128,0,0.0309,0.463,0.0408,0.173,0.509,118.65,1969,24
0.639,0.548,8,-13.534,1,0.0394,0.29,9.68E-05,0.366,0.887,98.359,1969,19
0.25,0.312,7,-13.117,1,0.033,0.674,2.41E-05,0.244,0.45,160.262,1969,3
0.651,0.668,2,-12.413,1,0.0311,0.472,0.00204,0.355,0.972,126.99,1970,66
