danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year,popularity
0.56,0.652,5,-2.205,0,0.0328,0.743,0,0.488,0.611,86.993,2012,49
0.335,0.266,6,-9.571,0,0.0328,0.824,1.49E-06,0.0856,0.18,122.474,2012,5
0.72,0.791,1,-4.689,1,0.124,0.0384,0,0.157,0.756,102.071,2012,78
0.514,0.79,0,-3.895,1,0.0599,0.429,0,0.123,0.417,206.033,2012,6
0.658,0.591,9,-5.197,1,0.0309,0.00959,5.27E-06,0.325,0.326,114.078,2012,74
0.465,0.403,11,-8.895,0,0.0755,0.744,0.000667,0.0777,0.0687,74.95,2012,69
0.517,0.686,3,-6.401,1,0.0442,0.134,0.00362,0.113,0.238,126.524,2012,61
0.681,0.761,1,-6.217,1,0.0378,0.139,0,0.119,0.427,120.013,2012,59
0.65,0.664,1,-5.587,0,0.0341,0.00893,0.868,0.171,0.513,127,2012,52
0.507,0.925,1,-3.198,1,0.0714,0.00425,1.61E-06,0.055,0.507,144.029,2012,23
0.523,0.886,7,-4.472,1,0.12,0.000219,0,0.124,0.745,171.958,2012,55
0.447,0.935,8,-4.23,1,0.0906,0.000193,0.00728,0.0865,0.289,140.03,2012,62
0.523,0.954,1,-3.051,1,0.0374,0.00385,1.65E-06,0.243,0.901,141.982,2012,67
0.491,0.841,5,-3.579,1,0.0421,0.0471,0,0.0886,0.721,199.851,2012,63
0.446,0.757,1,-5.177,1,0.0322,0.0206,0,0.146,0.421,102.88,2012,76
0.367,0.663,3,-6.969,1,0.0349,0.128,0.0269,0.0552,0.177,111.63,2012,60
0.395,0.896,1,-4.262,0,0.0351,0.0513,0.00396,0.14,0.35,101.867,2012,62
0.385,0.657,5,-6.975,1,0.0342,0.724,0,0.105,0.672,124.895,2012,56
0.682,0.471,0,-9.182,1,0.0301,0.765,0,0.0908,0.421,79.907,2012,74
0.236,0.249,6,-9.595,0,0.0348,0.811,1.00E-06,0.087,0.181,72.847,2012,70
0.472,0.3,7,-10.807,1,0.028,0.883,1.04E-05,0.0698,0.289,144.317,2012,55
0.432,0.438,8,-8.743,1,0.0276,0.372,0.00472,0.129,0.207,119.812,2012,7
0.597,0.777,11,-5.078,1,0.0262,0.0753,1.21E-06,0.15,0.581,117.692,2012,46
0.554,0.878,3,-4.271,1,0.134,0.0216,5.76E-06,0.362,0.682,126.045,2012,14
0.616,0.547,9,-5.931,1,0.0255,0.0121,0,0.0896,0.556,88.917,2012,34
0.613,0.925,7,-4.348,0,0.0423,0.00191,1.58E-06,0.135,0.849,120.04,2012,0
0.782,0.6,7,-6.532,1,0.0416,0.0162,1.81E-06,0.108,0.612,120.05,2012,76
