,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year,popularity
58,0.621,0.417,10,-6.941,1,0.0231,0.288,0,0.119,0.289,99.953,203040,2006,61
59,0.576,0.777,9,-2.881,1,0.0324,0.051,0,0.32,0.428,115.028,199200,2006,49
60,0.418,0.482,5,-5.769,1,0.0266,0.217,0,0.123,0.261,175.558,239013,2006,49
61,0.589,0.805,5,-4.055,1,0.0293,0.00491,0,0.24,0.591,112.982,207107,2006,46
62,0.479,0.578,2,-4.963,1,0.0294,0.525,0,0.0841,0.192,146.165,248107,2006,48
63,0.594,0.629,8,-4.919,1,0.0246,0.0868,0,0.137,0.504,131.597,236053,2006,49
64,0.476,0.777,4,-3.771,0,0.0289,0.0103,0,0.196,0.472,167.964,242200,2006,57
65,0.403,0.627,2,-5.28,1,0.0292,0.0177,0,0.182,0.374,74.9,213080,2006,50
66,0.668,0.672,2,-4.931,1,0.0303,0.111,0,0.329,0.539,89.011,201107,2006,65
67,0.563,0.934,8,-3.629,1,0.0646,0.00452,0.000807,0.103,0.518,143.964,213053,2006,51
68,0.612,0.394,7,-5.723,1,0.0243,0.637,0,0.147,0.233,96.001,203227,2006,47
69,0.483,0.751,4,-5.726,1,0.0365,0.00349,0,0.128,0.268,156.092,220147,2006,45
70,0.459,0.753,10,-3.827,1,0.0537,0.0402,0,0.0863,0.483,199.997,179067,2006,48
71,0.452,0.544,4,-5.423,1,0.0277,0.0631,5.33E-06,0.104,0.158,133.042,191947,2009,58
72,0.52,0.716,7,-4.47,1,0.0314,0.0282,5.97E-06,0.191,0.357,79.026,242480,2010,0
73,0.472,0.3,7,-10.807,1,0.028,0.883,1.04E-05,0.0698,0.289,144.317,240067,2012,66
74,0.598,0.724,7,-7.226,1,0.0344,0.00667,0.00187,0.0839,0.299,137.116,244587,2012,51
75,0.709,0.609,6,-6.988,1,0.0382,0.00162,0.000248,0.0864,0.694,135.009,237640,2013,0
76,0.521,0.702,0,-5.189,1,0.0331,0.189,0,0.0962,0.25,127.976,242840,2009,67
77,0.477,0.79,2,-5.348,1,0.0394,0.0261,0,0.0841,0.505,157.797,278453,2013,45
78,0.677,0.722,7,-7.088,1,0.0522,0.0213,0,0.207,0.0483,125.091,216120,2012,58
79,0.735,0.451,0,-8.374,1,0.0585,0.0631,1.30E-05,0.325,0.0862,117.973,245200,2016,78
80,0.789,0.634,7,-4.762,1,0.0323,0.0348,1.64E-06,0.302,0.658,116.992,212600,2014,53
81,0.76,0.703,5,-5.412,1,0.054,0.103,0,0.0913,0.57,95.997,231827,2014,60
82,0.588,0.791,7,-5.595,1,0.0402,0.00245,0.00258,0.118,0.487,94.933,231000,2014,58
83,0.553,0.841,7,-6.937,1,0.0396,0.000743,1.19E-05,0.341,0.338,92.008,235800,2014,56
84,0.605,0.725,5,-5.729,1,0.0323,0.00201,2.02E-05,0.101,0.539,96.97,193293,2014,53
85,0.647,0.8,7,-5.384,1,0.165,0.0647,0,0.334,0.942,160.078,219200,2014,58
86,0.653,0.893,0,-5.966,1,0.0538,0.0158,4.95E-05,0.102,0.513,118.035,207440,2014,51
87,0.646,0.794,7,-6.104,1,0.19,0.0885,6.16E-06,0.201,0.287,170.216,211933,2014,53
88,0.55,0.688,8,-7.416,1,0.0897,0.0692,0.00144,0.106,0.465,139.997,220440,2014,57
89,0.765,0.656,5,-6.112,1,0.0504,0.00364,0.00868,0.0918,0.545,119.997,247533,2014,52
90,0.481,0.435,4,-8.795,1,0.0321,0.678,0,0.0928,0.107,143.95,250093,2014,51
91,0.602,0.755,0,-4.991,1,0.071,0.245,0,0.178,0.495,159.965,195707,2014,51
92,0.815,0.377,4,-7.754,1,0.0346,0.232,0,0.1,0.211,103.97,271000,2014,54
93,0.422,0.692,3,-5.447,1,0.0549,0.0493,2.57E-05,0.177,0.197,184.014,245560,2014,55
94,0.474,0.48,2,-8.894,1,0.0622,0.707,0.000108,0.0903,0.319,170.109,267107,2014,56
95,0.633,0.889,5,-5.87,1,0.0715,0.00463,0.000458,0.0658,0.584,121.956,230467,2014,58
96,0.483,0.548,4,-6.291,1,0.0254,0.00471,2.01E-06,0.0997,0.217,79.926,222707,2012,54
97,0.733,0.59,5,-5.86,1,0.0284,0.272,0,0.136,0.633,125.048,220320,2012,50
98,0.828,0.64,2,-8.248,1,0.0355,0.175,6.14E-05,0.0996,0.519,109.993,239720,2012,49
99,0.678,0.902,1,-4.659,0,0.0358,0.113,0.000235,0.0722,0.637,124.998,226280,2012,49
100,0.626,0.118,7,-15.91,1,0.0305,0.664,0.000169,0.127,0.0682,105.597,323080,2012,51
