danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year,popularity
0.663,0.648,7,-8.014,1,0.0527,0.224,0,0.111,0.538,120.026,2015,39
0.477,0.28,6,-11.747,1,0.0317,0.264,0,0.112,0.149,122.363,2015,45
0.893,0.475,2,-7.505,1,0.0359,0.772,9.59E-06,0.083,0.454,127.016,2015,34
0.675,0.424,0,-10.933,1,0.213,0.118,0,0.37,0.274,160.04,2015,10
0.619,0.223,8,-8.237,0,0.03,0.964,5.86E-05,0.0883,0.179,81.414,2015,54
0.623,0.956,4,-2.608,0,0.0753,0.119,0.000227,0.617,0.739,149.958,2015,72
0.385,0.866,4,-2.817,0,0.0697,0.004,0,0.111,0.551,176.014,2015,81
0.613,0.874,2,-3.594,1,0.0697,0.00139,1.82E-06,0.656,0.543,108.038,2015,75
0.487,0.923,2,-3.054,1,0.114,0.0675,0,0.254,0.432,165.044,2015,66
0.404,0.48,9,-8.906,0,0.0303,0.274,8.63E-06,0.132,0.2,129.162,2015,66
0.674,0.401,10,-6.422,1,0.0284,0.852,0,0.217,0.559,99.914,2015,40
0.598,0.593,9,-5.719,1,0.029,0.347,0,0.0847,0.3,144.986,2015,2
0.47,0.503,1,-9.293,0,0.0356,0.363,0.257,0.173,0.553,168.177,2015,0
0.351,0.412,0,-6.489,1,0.0301,0.797,0,0.0881,0.203,124.001,2015,41
0.544,0.735,1,-4.065,0,0.032,0.383,0,0.103,0.219,122.03,2015,42
0.579,0.268,2,-5.65,1,0.0442,0.868,0,0.12,0.321,205.903,2015,24
0.692,0.714,2,-4.354,1,0.0368,0.112,0,0.0795,0.227,120.977,2015,0
0.484,0.487,5,-8.922,1,0.0321,0.27,0.355,0.256,0.0884,150.016,2015,40
0.616,0.751,2,-6.587,1,0.0422,0.00941,0.000294,0.223,0.275,75.059,2015,33
0.241,0.682,7,-7.027,1,0.0409,0.0539,4.18E-05,0.317,0.288,160.304,2015,15
0.671,0.777,2,-4.322,1,0.046,0.0057,0.0011,0.0783,0.289,99.98,2015,66
0.443,0.404,3,-8.729,1,0.0356,0.846,0,0.111,0.366,80.319,2015,0
0.884,0.765,8,-3.865,1,0.0882,0.063,7.04E-06,0.118,0.594,99.987,2015,76
0.813,0.872,9,-5.224,1,0.107,0.00621,0,0.0498,0.736,103.016,2015,67
0.526,0.803,11,-3.989,1,0.127,0.135,0,0.119,0.564,157.887,2015,67
0.611,0.701,6,-5.235,1,0.0248,0.0109,9.83E-06,0.0994,0.604,142.027,2015,68
0.689,0.601,0,-6.584,1,0.0464,0.00196,0.000504,0.104,0.654,79.982,2015,57
0.677,0.781,2,-6.282,1,0.0346,0.238,0,0.0762,0.816,95.03,2015,46
0.374,0.613,10,-7.536,0,0.0312,0.221,0.0176,0.176,0.376,119.937,2015,1
0.699,0.747,5,-3.453,1,0.0964,0.274,0,0.486,0.683,126.001,2015,63
0.472,0.421,11,-8.553,1,0.0265,0.115,3.09E-06,0.167,0.288,75.017,2015,54
0.55,0.808,0,-4.697,1,0.0542,0.00289,8.18E-05,0.0706,0.67,169.61,2015,43
0.693,0.875,2,-4.825,1,0.0292,0.203,0.000103,0.085,0.851,104.113,2015,26
0.436,0.804,0,-4.907,1,0.0409,0.209,0,0.171,0.784,188.061,2015,51
0.441,0.379,2,-9.545,1,0.0449,0.968,0.262,0.639,0.105,174.118,2015,50
0.742,0.592,1,-6.276,1,0.0619,0.397,0,0.282,0.328,125.979,2015,41
0.712,0.694,5,-6.621,1,0.0479,0.05,0.000377,0.0904,0.643,114.975,2015,54
0.327,0.622,5,-9.062,1,0.0394,0.095,0.0815,0.309,0.685,193.887,2015,11
0.697,0.932,2,-3.157,1,0.115,0.258,0,0.263,0.806,161.96,2015,52
0.686,0.286,9,-9.603,0,0.0295,0.564,0.209,0.135,0.283,122.983,2015,48
0.566,0.874,0,-7.549,1,0.0585,0.155,0.111,0.0683,0.306,110.989,2015,46
0.612,0.921,7,-2.879,1,0.0848,0.0183,0,0.0576,0.453,139.986,2015,73
0.547,0.688,5,-5.266,1,0.0441,0.346,2.33E-05,0.0586,0.462,175.909,2015,42
0.548,0.829,7,-2.154,1,0.0479,0.139,0,0.0985,0.521,80.792,2015,44
0.567,0.992,1,-2.688,1,0.272,0.000465,0.00646,0.217,0.0999,128.023,2015,2
0.624,0.994,8,-2.833,1,0.176,0.000176,0.266,0.0847,0.156,128.001,2015,1
0.703,0.753,11,-7.702,0,0.195,0.362,0.00209,0.11,0.471,125.055,2015,48
0.528,0.928,1,-3.925,1,0.0664,0.0208,5.69E-06,0.376,0.399,128.009,2015,57
0.351,0.846,2,-3.143,0,0.0578,0.00261,0,0.325,0.597,179.964,2015,47
0.39,0.825,8,-5.515,1,0.0784,0.0185,2.22E-06,0.0839,0.489,203.855,2015,58
0.547,0.695,9,-4.542,0,0.0644,0.0288,0.000103,0.124,0.615,176.099,2015,48
0.651,0.642,0,-4.945,1,0.0267,0.254,2.55E-05,0.102,0.525,98.004,2015,44
0.755,0.435,10,-7.96,1,0.0333,0.689,0.0451,0.0947,0.143,139.948,2015,42
0.461,0.0575,10,-20.555,1,0.0373,0.967,0.00853,0.0962,0.206,141.089,2015,33
0.66,0.852,9,-4.279,0,0.0419,0.101,0,0.0362,0.964,120.052,2015,37
0.599,0.916,11,-4.449,0,0.0461,0.0358,0,0.139,0.586,99.956,2015,19
0.587,0.793,9,-5.856,1,0.047,0.229,0.000138,0.273,0.97,126.631,2015,0
0.274,0.875,2,-4.965,1,0.0368,0.00782,0.00112,0.325,0.54,112.486,2015,0
0.879,0.234,9,-12.293,0,0.352,0.28,0,0.191,0.479,79.956,2015,4
0.465,0.59,0,-5.409,1,0.0317,0.268,3.88E-05,0.101,0.421,138.084,2015,0
0.424,0.633,0,-6.415,1,0.0301,0.0294,0,0.152,0.256,82.028,2015,0
0.62,0.555,0,-7.413,1,0.0975,0.27,0,0.353,0.594,170.001,2015,0
0.638,0.664,11,-6.58,0,0.0369,0.0685,0,0.117,0.411,144.955,2015,53
0.805,0.858,0,-3.067,1,0.105,0.194,7.89E-06,0.256,0.523,97.033,2015,71
0.761,0.797,6,-5.17,1,0.033,0.045,0,0.149,0.509,101.937,2015,38
0.831,0.233,2,-12.227,0,0.439,0.283,0,0.192,0.514,159.827,2015,60
0.82,0.446,4,-8.183,0,0.0532,0.0603,0.27,0.0437,0.561,81.982,2015,56
0.838,0.393,2,-12.136,1,0.318,0.643,0.0479,0.117,0.352,77.993,2015,49
0.597,0.319,4,-12.035,0,0.416,0.602,0.000227,0.0973,0.654,78.66,2015,47
0.686,0.269,6,-10.181,0,0.285,0.303,0.125,0.0847,0.261,75.004,2015,42
0.776,0.589,1,-8.749,0,0.416,0.0231,0.267,0.0764,0.404,174.316,2015,44
0.568,0.816,0,-3.928,1,0.0281,0.014,0.000231,0.155,0.31,125.033,2015,41
0.819,0.681,8,-6.423,1,0.0308,0.0336,2.08E-06,0.1,0.93,108.989,2015,33
0.811,0.699,7,-5.211,1,0.114,0.0726,1.38E-06,0.148,0.733,122.987,2015,53
0.664,0.265,2,-10.227,1,0.0334,0.745,0,0.108,0.367,95.224,2015,58
0.565,0.73,1,-4.54,1,0.031,0.0879,0,0.0652,0.408,82.058,2015,43
0.792,0.688,0,-4.008,1,0.0386,0.00435,0.00477,0.0972,0.502,124.987,2015,7
0.534,0.711,10,-5.927,0,0.0368,0.05,0.0031,0.135,0.3,128.102,2015,7
0.577,0.403,3,-10.032,1,0.0289,0.454,6.13E-06,0.154,0.331,145.821,2015,46
0.534,0.781,3,-7.246,0,0.257,0.242,0,0.0931,0.576,111.17,2015,19
0.851,0.563,0,-8.058,1,0.297,0.437,0,0.121,0.192,114.978,2015,20
0.808,0.423,1,-7.153,1,0.222,0.000763,0,0.193,0.156,120.216,2015,13
0.817,0.721,10,-8.541,0,0.294,0.0726,0,0.0635,0.4,130.111,2015,14
0.797,0.836,11,-5.12,0,0.0654,0.0986,0,0.0644,0.382,121.005,2015,10
0.642,0.823,0,-5.717,1,0.0289,0.00159,0,0.0776,0.431,122.977,2015,65
0.682,0.681,2,-5.435,1,0.0291,0.0201,0.0162,0.101,0.577,111.037,2015,2
0.638,0.521,7,-6.703,1,0.0283,0.671,8.87E-06,0.241,0.525,95.934,2015,0
0.498,0.792,8,-7.34,0,0.0343,0.0387,0.179,0.163,0.579,113.167,2015,0
