,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year,popularity,artist
44,0.152,0.334,7,-4.735,1,0.0306,0.639,6.95E-05,0.115,0.161,71.728,215867,2013,50,Sia
54,0.575,0.821,0,-5.7,1,0.0527,0.181,0,0.124,0.449,118.021,238000,2013,30,James Blunt
92,0.551,0.836,10,-3.838,0,0.0524,0.00502,2.10E-05,0.0425,0.758,185.063,220573,2013,72,Sara Bareilles
111,0.646,0.431,6,-8.517,1,0.0262,0.637,6.99E-06,0.113,0.292,90.034,220627,2013,64,Echosmith
153,0.56,0.756,7,-4.817,0,0.0415,0.00635,1.29E-05,0.55,0.404,179.771,223546,2013,18,Katy Perry
195,0.602,0.923,5,-3.763,1,0.044,0.0098,0,0.0561,0.765,136.01,216013,2013,76,Paramore
196,0.664,0.642,6,-5.961,1,0.038,0.129,0,0.114,0.501,118.002,209693,2013,68,Phillip Phillips
198,0.439,0.489,8,-6.286,1,0.0368,0.132,0.000643,0.114,0.253,143.808,250707,2013,69,Christina Perri
199,0.631,0.819,9,-4.24,1,0.122,0.0767,0,0.1,0.733,125.928,233173,2013,65,Demi Lovato
203,0.6,0.663,3,-5.802,1,0.0477,0.225,0,0.119,0.286,121.07,245493,2013,81,One Direction
209,0.681,0.709,9,-6.488,1,0.041,0.0749,0,0.266,0.591,127.44,214148,2013,62,Bastille
212,0.531,0.77,11,-7.205,0,0.0434,0.0332,0,0.235,0.504,85.996,255907,2013,11,Aloe Blacc
217,0.691,0.575,6,-7.431,1,0.102,0.159,0,0.271,0.402,99.984,193059,2013,12,Lorde
220,0.545,0.78,7,-4.867,0,0.0436,0.0309,4.64E-05,0.0828,0.458,125.014,255093,2013,21,Avicii
224,0.422,0.264,8,-7.064,1,0.0322,0.922,0,0.132,0.331,119.93,269560,2013,86,John Legend
238,0.719,0.671,8,-6.279,1,0.0336,0.0372,8.21E-06,0.12,0.786,130.027,237627,2013,71,Echosmith
