,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,principal component 1,principal component 2,Taylor Swift,popularity
0,1,0.588,0.825,4,-5.882,1,0.0328,0.000197,0.00138,0.0885,0.397,129.968,2012,0.345744,0.4851,2.352,-3.458616,0.588,0.0192864,0.000115836,0.00081144,0.052038,0.233436,76.421184,1183.056,0.680625,3.3,-4.85265,0.825,0.02706,0.000162525,0.0011385,0.0730125,0.327525,107.2236,1659.9,16,-23.528,4,0.1312,0.000788,0.00552,0.354,1.588,519.872,8048,34.597924,-5.882,-0.1929296,-0.001158754,-0.00811716,-0.520557,-2.335154,-764.471776,-11834.584,1,0.0328,0.000197,0.00138,0.0885,0.397,129.968,2012,0.00107584,6.46E-06,4.53E-05,0.0029028,0.0130216,4.2629504,65.9936,3.88E-08,2.72E-07,1.74E-05,7.82E-05,0.025603696,0.396364,1.90E-06,0.00012213,0.00054786,0.17935584,2.77656,0.00783225,0.0351345,11.502168,178.062,0.157609,51.597296,798.764,16891.68102,261495.616,4048144,11942.88443,-663.816789,1,42
1,1,0.602,0.896,1,-4.267,0,0.0437,0.0773,8.87E-05,0.091,0.641,124.978,2012,0.362404,0.539392,0.602,-2.568734,0,0.0263074,0.0465346,5.34E-05,0.054782,0.385882,75.236756,1211.224,0.802816,0.896,-3.823232,0,0.0391552,0.0692608,7.95E-05,0.081536,0.574336,111.980288,1802.752,1,-4.267,0,0.0437,0.0773,8.87E-05,0.091,0.641,124.978,2012,18.207289,0,-0.1864679,-0.3298391,-0.000378483,-0.388297,-2.735147,-533.281126,-8585.204,0,0,0,0,0,0,0,0,0.00190969,0.00337801,3.88E-06,0.0039767,0.0280117,5.4615386,87.9244,0.00597529,6.86E-06,0.0070343,0.0495493,9.6607994,155.5276,7.87E-09,8.07E-06,5.69E-05,0.011085549,0.1784644,0.008281,0.058331,11.372998,183.092,0.410881,80.110898,1289.692,15619.50048,251455.736,4048144,1861.985584,-719.173497,1,59
2,1,0.705,0.621,2,-8.086,1,0.0334,0.101,4.30E-06,0.147,0.395,109.993,2012,0.497025,0.437805,1.41,-5.70063,0.705,0.023547,0.071205,3.03E-06,0.103635,0.278475,77.545065,1418.46,0.385641,1.242,-5.021406,0.621,0.0207414,0.062721,2.67E-06,0.091287,0.245295,68.305653,1249.452,4,-16.172,2,0.0668,0.202,8.60E-06,0.294,0.79,219.986,4024,65.383396,-8.086,-0.2700724,-0.816686,-3.48E-05,-1.188642,-3.19397,-889.403398,-16269.032,1,0.0334,0.101,4.30E-06,0.147,0.395,109.993,2012,0.00111556,0.0033734,1.44E-07,0.0049098,0.013193,3.6737662,67.2008,0.010201,4.34E-07,0.014847,0.039895,11.109293,203.212,1.85E-11,6.32E-07,1.70E-06,0.00047297,0.0086516,0.021609,0.058065,16.168971,295.764,0.156025,43.447235,794.74,12098.46005,221305.916,4048144,-28593.12806,-40.62536354,1,41
3,1,0.622,0.469,3,-6.798,0,0.0363,0.00454,2.25E-06,0.0398,0.679,77.019,2012,0.386884,0.291718,1.866,-4.228356,0,0.0225786,0.00282388,1.40E-06,0.0247556,0.422338,47.905818,1251.464,0.219961,1.407,-3.188262,0,0.0170247,0.00212926,1.06E-06,0.0186662,0.318451,36.121911,943.628,9,-20.394,0,0.1089,0.01362,6.75E-06,0.1194,2.037,231.057,6036,46.212804,0,-0.2467674,-0.03086292,-1.53E-05,-0.2705604,-4.615842,-523.575162,-13677.576,0,0,0,0,0,0,0,0,0.00131769,0.000164802,8.17E-08,0.00144474,0.0246477,2.7957897,73.0356,2.06E-05,1.02E-08,0.000180692,0.00308266,0.34966626,9.13448,5.06E-12,8.96E-08,1.53E-06,0.000173293,0.004527,0.00158404,0.0270242,3.0653562,80.0776,0.461041,52.295901,1366.148,5931.926361,154962.228,4048144,-95137.20292,-683.2327275,1,65
4,1,0.602,0.609,0,-7.803,1,0.0243,0.0382,0.0002,0.127,0.337,93.06,2012,0.362404,0.366618,0,-4.697406,0.602,0.0146286,0.0229964,0.0001204,0.076454,0.202874,56.02212,1211.224,0.370881,0,-4.752027,0.609,0.0147987,0.0232638,0.0001218,0.077343,0.205233,56.67354,1225.308,0,0,0,0,0,0,0,0,0,0,60.886809,-7.803,-0.1896129,-0.2980746,-0.0015606,-0.990981,-2.629611,-726.14718,-15699.636,1,0.0243,0.0382,0.0002,0.127,0.337,93.06,2012,0.00059049,0.00092826,4.86E-06,0.0030861,0.0081891,2.261358,48.8916,0.00145924,7.64E-06,0.0048514,0.0128734,3.554892,76.8584,4.00E-08,2.54E-05,6.74E-05,0.018612,0.4024,0.016129,0.042799,11.81862,255.524,0.113569,31.36122,678.044,8660.1636,187236.72,4048144,-62815.68652,8.797331117,1,48
5,1,0.658,0.729,7,-6.561,1,0.0378,0.00215,0.0013,0.0752,0.668,104.007,2012,0.432964,0.479682,4.606,-4.317138,0.658,0.0248724,0.0014147,0.0008554,0.0494816,0.439544,68.436606,1323.896,0.531441,5.103,-4.782969,0.729,0.0275562,0.00156735,0.0009477,0.0548208,0.486972,75.821103,1466.748,49,-45.927,7,0.2646,0.01505,0.0091,0.5264,4.676,728.049,14084,43.046721,-6.561,-0.2480058,-0.01410615,-0.0085293,-0.4933872,-4.382748,-682.389927,-13200.732,1,0.0378,0.00215,0.0013,0.0752,0.668,104.007,2012,0.00142884,8.13E-05,4.91E-05,0.00284256,0.0252504,3.9314646,76.0536,4.62E-06,2.80E-06,0.00016168,0.0014362,0.22361505,4.3258,1.69E-06,9.78E-05,0.0008684,0.1352091,2.6156,0.00565504,0.0502336,7.8213264,151.3024,0.446224,69.476676,1344.016,10817.45605,209262.084,4048144,-40646.69835,-1039.977155,1,60
6,1,0.567,0.481,4,-7.357,1,0.027,0.0173,4.13E-05,0.182,0.233,145.865,2012,0.321489,0.272727,2.268,-4.171419,0.567,0.015309,0.0098091,2.34E-05,0.103194,0.132111,82.705455,1140.804,0.231361,1.924,-3.538717,0.481,0.012987,0.0083213,1.99E-05,0.087542,0.112073,70.161065,967.772,16,-29.428,4,0.108,0.0692,0.0001652,0.728,0.932,583.46,8048,54.125449,-7.357,-0.198639,-0.1272761,-0.000303844,-1.338974,-1.714181,-1073.128805,-14802.284,1,0.027,0.0173,4.13E-05,0.182,0.233,145.865,2012,0.000729,0.0004671,1.12E-06,0.004914,0.006291,3.938355,54.324,0.00029929,7.14E-07,0.0031486,0.0040309,2.5234645,34.8076,1.71E-09,7.52E-06,9.62E-06,0.006024225,0.0830956,0.033124,0.042406,26.54743,366.184,0.054289,33.986545,468.796,21276.59823,293480.38,4048144,44180.72474,-193.3229332,1,44
7,1,0.628,0.676,7,-5.911,1,0.0916,0.00957,2.65E-05,0.102,0.75,85.984,2012,0.394384,0.424528,4.396,-3.712108,0.628,0.0575248,0.00600996,1.66E-05,0.064056,0.471,53.997952,1263.536,0.456976,4.732,-3.995836,0.676,0.0619216,0.00646932,1.79E-05,0.068952,0.507,58.125184,1360.112,49,-41.377,7,0.6412,0.06699,0.0001855,0.714,5.25,601.888,14084,34.939921,-5.911,-0.5414476,-0.05656827,-0.000156642,-0.602922,-4.43325,-508.251424,-11892.932,1,0.0916,0.00957,2.65E-05,0.102,0.75,85.984,2012,0.00839056,0.000876612,2.43E-06,0.0093432,0.0687,7.8761344,184.2992,9.16E-05,2.54E-07,0.00097614,0.0071775,0.82286688,19.25484,7.02E-10,2.70E-06,1.99E-05,0.002278576,0.053318,0.010404,0.0765,8.770368,205.224,0.5625,64.488,1509,7393.248256,172999.808,4048144,-77028.50237,-1319.188585,1,64
8,1,0.729,0.748,0,-6.67,1,0.0245,0.307,1.29E-06,0.09,0.928,99.981,2012,0.531441,0.545292,0,-4.86243,0.729,0.0178605,0.223803,9.40E-07,0.06561,0.676512,72.886149,1466.748,0.559504,0,-4.98916,0.748,0.018326,0.229636,9.65E-07,0.06732,0.694144,74.785788,1504.976,0,0,0,0,0,0,0,0,0,0,44.4889,-6.67,-0.163415,-2.04769,-8.60E-06,-0.6003,-6.18976,-666.87327,-13420.04,1,0.0245,0.307,1.29E-06,0.09,0.928,99.981,2012,0.00060025,0.0075215,3.16E-08,0.002205,0.022736,2.4495345,49.294,0.094249,3.96E-07,0.02763,0.284896,30.694167,617.684,1.66E-12,1.16E-07,1.20E-06,0.000128975,0.00259548,0.0081,0.08352,8.99829,181.08,0.861184,92.782368,1867.136,9996.200361,201161.772,4048144,-48804.73354,-211.9419011,1,42
9,1,0.505,0.443,2,-7.039,1,0.0276,0.035,3.15E-06,0.0921,0.123,94.069,2012,0.255025,0.223715,1.01,-3.554695,0.505,0.013938,0.017675,1.59E-06,0.0465105,0.062115,47.504845,1016.06,0.196249,0.886,-3.118277,0.443,0.0122268,0.015505,1.40E-06,0.0408003,0.054489,41.672567,891.316,4,-14.078,2,0.0552,0.07,6.30E-06,0.1842,0.246,188.138,4024,49.547521,-7.039,-0.1942764,-0.246365,-2.22E-05,-0.6482919,-0.865797,-662.151691,-14162.468,1,0.0276,0.035,3.15E-06,0.0921,0.123,94.069,2012,0.00076176,0.000966,8.69E-08,0.00254196,0.0033948,2.5963044,55.5312,0.001225,1.10E-07,0.0032235,0.004305,3.292415,70.42,9.92E-12,2.90E-07,3.87E-07,0.000296317,0.0063378,0.00848241,0.0113283,8.6637549,185.3052,0.015129,11.570487,247.476,8848.976761,189266.828,4048144,-60752.5918,-403.2804723,1,42
10,1,0.627,0.816,4,-6.698,1,0.0774,0.0162,0.00208,0.0966,0.648,157.043,2012,0.393129,0.511632,2.508,-4.199646,0.627,0.0485298,0.0101574,0.00130416,0.0605682,0.406296,98.465961,1261.524,0.665856,3.264,-5.465568,0.816,0.0631584,0.0132192,0.00169728,0.0788256,0.528768,128.147088,1641.792,16,-26.792,4,0.3096,0.0648,0.00832,0.3864,2.592,628.172,8048,44.863204,-6.698,-0.5184252,-0.1085076,-0.01393184,-0.6470268,-4.340304,-1051.874014,-13476.376,1,0.0774,0.0162,0.00208,0.0966,0.648,157.043,2012,0.00599076,0.00125388,0.000160992,0.00747684,0.0501552,12.1551282,155.7288,0.00026244,3.37E-05,0.00156492,0.0104976,2.5440966,32.5944,4.33E-06,0.000200928,0.00134784,0.32664944,4.18496,0.00933156,0.0625968,15.1703538,194.3592,0.419904,101.763864,1303.776,24662.50385,315970.516,4048144,66935.59109,-268.3821593,1,43
