,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,principal component 1,principal component 2,Drake,popularity
0,1,0.373,0.56,9,-7.615,0,0.0448,0.132,0,0.381,0.187,98.858,2016,0.139129,0.20888,3.357,-2.840395,0,0.0167104,0.049236,0,0.142113,0.069751,36.874034,751.968,0.3136,5.04,-4.2644,0,0.025088,0.07392,0,0.21336,0.10472,55.36048,1128.96,81,-68.535,0,0.4032,1.188,0,3.429,1.683,889.722,18144,57.988225,0,-0.341152,-1.00518,0,-2.901315,-1.424005,-752.80367,-15351.84,0,0,0,0,0,0,0,0,0.00200704,0.0059136,0,0.0170688,0.0083776,4.4288384,90.3168,0.017424,0,0.050292,0.024684,13.049256,266.112,0,0,0,0,0,0.145161,0.071247,37.664898,768.096,0.034969,18.486446,376.992,9772.904164,199297.728,4064256,-42547.74509,-5685.443849,1,1
1,1,0.703,0.699,2,-7.322,1,0.044,0.00113,0.000779,0.246,0.0393,99.991,2016,0.494209,0.491397,1.406,-5.147366,0.703,0.030932,0.00079439,0.000547637,0.172938,0.0276279,70.293673,1417.248,0.488601,1.398,-5.118078,0.699,0.030756,0.00078987,0.000544521,0.171954,0.0274707,69.893709,1409.184,4,-14.644,2,0.088,0.00226,0.001558,0.492,0.0786,199.982,4032,53.611684,-7.322,-0.322168,-0.00827386,-0.005703838,-1.801212,-0.2877546,-732.134102,-14761.152,1,0.044,0.00113,0.000779,0.246,0.0393,99.991,2016,0.001936,4.97E-05,3.43E-05,0.010824,0.0017292,4.399604,88.704,1.28E-06,8.80E-07,0.00027798,4.44E-05,0.11298983,2.27808,6.07E-07,0.000191634,3.06E-05,0.077892989,1.570464,0.060516,0.0096678,24.597786,495.936,0.00154449,3.9296463,79.2288,9998.200081,201581.856,4064256,-40130.87577,-4270.675591,1,1
2,1,0.442,0.421,2,-11.455,1,0.137,0.376,7.23E-06,0.139,0.111,87.694,2016,0.195364,0.186082,0.884,-5.06311,0.442,0.060554,0.166192,3.20E-06,0.061438,0.049062,38.760748,891.072,0.177241,0.842,-4.822555,0.421,0.057677,0.158296,3.04E-06,0.058519,0.046731,36.919174,848.736,4,-22.91,2,0.274,0.752,1.45E-05,0.278,0.222,175.388,4032,131.217025,-11.455,-1.569335,-4.30708,-8.28E-05,-1.592245,-1.271505,-1004.53477,-23093.28,1,0.137,0.376,7.23E-06,0.139,0.111,87.694,2016,0.018769,0.051512,9.91E-07,0.019043,0.015207,12.014078,276.192,0.141376,2.72E-06,0.052264,0.041736,32.972944,758.016,5.23E-11,1.00E-06,8.03E-07,0.000634028,0.01457568,0.019321,0.015429,12.189466,280.224,0.012321,9.734034,223.776,7690.237636,176791.104,4064256,-65071.15666,-4459.647411,1,1
3,1,0.581,0.673,7,-7.111,1,0.162,0.032,6.38E-06,0.116,0.209,193.668,2016,0.337561,0.391013,4.067,-4.131491,0.581,0.094122,0.018592,3.71E-06,0.067396,0.121429,112.521108,1171.296,0.452929,4.711,-4.785703,0.673,0.109026,0.021536,4.29E-06,0.078068,0.140657,130.338564,1356.768,49,-49.777,7,1.134,0.224,4.47E-05,0.812,1.463,1355.676,14112,50.566321,-7.111,-1.151982,-0.227552,-4.54E-05,-0.824876,-1.486199,-1377.173148,-14335.776,1,0.162,0.032,6.38E-06,0.116,0.209,193.668,2016,0.026244,0.005184,1.03E-06,0.018792,0.033858,31.374216,326.592,0.001024,2.04E-07,0.003712,0.006688,6.197376,64.512,4.07E-11,7.40E-07,1.33E-06,0.001235602,0.01286208,0.013456,0.024244,22.465488,233.856,0.043681,40.476612,421.344,37507.29422,390434.688,4064256,150579.6092,-7155.463686,1,3
4,1,0.785,0.633,7,-8.223,1,0.169,0.0259,0,0.368,0.244,129.97,2016,0.616225,0.496905,5.495,-6.455055,0.785,0.132665,0.0203315,0,0.28888,0.19154,102.02645,1582.56,0.400689,4.431,-5.205159,0.633,0.106977,0.0163947,0,0.232944,0.154452,82.27101,1276.128,49,-57.561,7,1.183,0.1813,0,2.576,1.708,909.79,14112,67.617729,-8.223,-1.389687,-0.2129757,0,-3.026064,-2.006412,-1068.74331,-16577.568,1,0.169,0.0259,0,0.368,0.244,129.97,2016,0.028561,0.0043771,0,0.062192,0.041236,21.96493,340.704,0.00067081,0,0.0095312,0.0063196,3.366223,52.2144,0,0,0,0,0,0.135424,0.089792,47.82896,741.888,0.059536,31.71268,491.904,16892.2009,262019.52,4064256,20593.31309,-5979.697463,1,1
5,1,0.62,0.722,1,-7.022,1,0.322,0.0733,0,0.273,0.365,82.918,2016,0.3844,0.44764,0.62,-4.35364,0.62,0.19964,0.045446,0,0.16926,0.2263,51.40916,1249.92,0.521284,0.722,-5.069884,0.722,0.232484,0.0529226,0,0.197106,0.26353,59.866796,1455.552,1,-7.022,1,0.322,0.0733,0,0.273,0.365,82.918,2016,49.308484,-7.022,-2.261084,-0.5147126,0,-1.917006,-2.56303,-582.250196,-14156.352,1,0.322,0.0733,0,0.273,0.365,82.918,2016,0.103684,0.0236026,0,0.087906,0.11753,26.699596,649.152,0.00537289,0,0.0200109,0.0267545,6.0778894,147.7728,0,0,0,0,0,0.074529,0.099645,22.636614,550.368,0.133225,30.26507,735.84,6875.394724,167162.688,4064256,-74646.6734,-3684.601793,1,1
6,1,0.66,0.311,0,-8.681,1,0.113,0.625,1.29E-06,0.116,0.357,119.237,2016,0.4356,0.20526,0,-5.72946,0.66,0.07458,0.4125,8.51E-07,0.07656,0.23562,78.69642,1330.56,0.096721,0,-2.699791,0.311,0.035143,0.194375,4.01E-07,0.036076,0.111027,37.082707,626.976,0,0,0,0,0,0,0,0,0,0,75.359761,-8.681,-0.980953,-5.425625,-1.12E-05,-1.006996,-3.099117,-1035.096397,-17500.896,1,0.113,0.625,1.29E-06,0.116,0.357,119.237,2016,0.012769,0.070625,1.46E-07,0.013108,0.040341,13.473781,227.808,0.390625,8.06E-07,0.0725,0.223125,74.523125,1260,1.66E-12,1.50E-07,4.61E-07,0.000153816,0.00260064,0.013456,0.041412,13.831492,233.856,0.127449,42.567609,719.712,14217.46217,240381.792,4064256,-1097.264643,-4415.603428,1,1
7,1,0.872,0.407,1,-10.036,1,0.256,0.152,0.000188,0.112,0.802,127.97,2016,0.760384,0.354904,0.872,-8.751392,0.872,0.223232,0.132544,0.000163936,0.097664,0.699344,111.58984,1757.952,0.165649,0.407,-4.084652,0.407,0.104192,0.061864,7.65E-05,0.045584,0.326414,52.08379,820.512,1,-10.036,1,0.256,0.152,0.000188,0.112,0.802,127.97,2016,100.721296,-10.036,-2.569216,-1.525472,-0.001886768,-1.124032,-8.048872,-1284.30692,-20232.576,1,0.256,0.152,0.000188,0.112,0.802,127.97,2016,0.065536,0.038912,4.81E-05,0.028672,0.205312,32.76032,516.096,0.023104,2.86E-05,0.017024,0.121904,19.45144,306.432,3.53E-08,2.11E-05,0.000150776,0.02405836,0.379008,0.012544,0.089824,14.33264,225.792,0.643204,102.63194,1616.832,16376.3209,257987.52,4064256,16603.85199,-4928.4322,1,3
8,1,0.536,0.446,1,-10.489,1,0.162,0.104,1.01E-05,0.323,0.157,99.979,2016,0.287296,0.239056,0.536,-5.622104,0.536,0.086832,0.055744,5.41E-06,0.173128,0.084152,53.588744,1080.576,0.198916,0.446,-4.678094,0.446,0.072252,0.046384,4.50E-06,0.144058,0.070022,44.590634,899.136,1,-10.489,1,0.162,0.104,1.01E-05,0.323,0.157,99.979,2016,110.019121,-10.489,-1.699218,-1.090856,-0.000105939,-3.387947,-1.646773,-1048.679731,-21145.824,1,0.162,0.104,1.01E-05,0.323,0.157,99.979,2016,0.026244,0.016848,1.64E-06,0.052326,0.025434,16.196598,326.592,0.010816,1.05E-06,0.033592,0.016328,10.397816,209.664,1.02E-10,3.26E-06,1.59E-06,0.001009788,0.0203616,0.104329,0.050711,32.293217,651.168,0.024649,15.696703,316.512,9995.800441,201557.664,4064256,-40181.99422,-4405.556637,1,1
9,1,0.834,0.438,0,-9.577,1,0.152,0.0212,0,0.649,0.207,133.958,2016,0.695556,0.365292,0,-7.987218,0.834,0.126768,0.0176808,0,0.541266,0.172638,111.720972,1681.344,0.191844,0,-4.194726,0.438,0.066576,0.0092856,0,0.284262,0.090666,58.673604,883.008,0,0,0,0,0,0,0,0,0,0,91.718929,-9.577,-1.455704,-0.2030324,0,-6.215473,-1.982439,-1282.915766,-19307.232,1,0.152,0.0212,0,0.649,0.207,133.958,2016,0.023104,0.0032224,0,0.098648,0.031464,20.361616,306.432,0.00044944,0,0.0137588,0.0043884,2.8399096,42.7392,0,0,0,0,0,0.421201,0.134343,86.938742,1308.384,0.042849,27.729306,417.312,17944.74576,270059.328,4064256,28799.51537,-4803.291186,1,3
10,1,0.607,0.476,10,-11.076,0,0.249,0.0773,0,0.113,0.347,122.976,2016,0.368449,0.288932,6.07,-6.723132,0,0.151143,0.0469211,0,0.068591,0.210629,74.646432,1223.712,0.226576,4.76,-5.272176,0,0.118524,0.0367948,0,0.053788,0.165172,58.536576,959.616,100,-110.76,0,2.49,0.773,0,1.13,3.47,1229.76,20160,122.677776,0,-2.757924,-0.8561748,0,-1.251588,-3.843372,-1362.082176,-22329.216,0,0,0,0,0,0,0,0,0.062001,0.0192477,0,0.028137,0.086403,30.621024,501.984,0.00597529,0,0.0087349,0.0268231,9.5060448,155.8368,0,0,0,0,0,0.012769,0.039211,13.896288,227.808,0.120409,42.672672,699.552,15123.09658,247919.616,4064256,6293.691926,-6748.368231,1,11
