,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,principal component 1,principal component 2,Ariana Grande,popularity
0,1,0.67,0.637,4,-5.275,0,0.0445,0.0543,0,0.356,0.301,134.056,2016,0.4489,0.42679,2.68,-3.53425,0,0.029815,0.036381,0,0.23852,0.20167,89.81752,1350.72,0.405769,2.548,-3.360175,0,0.0283465,0.0345891,0,0.226772,0.191737,85.393672,1284.192,16,-21.1,0,0.178,0.2172,0,1.424,1.204,536.224,8064,27.825625,0,-0.2347375,-0.2864325,0,-1.8779,-1.587775,-707.1454,-10634.4,0,0,0,0,0,0,0,0,0.00198025,0.00241635,0,0.015842,0.0133945,5.965492,89.712,0.00294849,0,0.0193308,0.0163443,7.2792408,109.4688,0,0,0,0,0,0.126736,0.107156,47.723936,717.696,0.090601,40.350856,606.816,17971.01114,270256.896,4064256,29946.36831,-2681.188639,1,3
1,1,0.803,0.464,1,-7.684,0,0.0983,0.221,1.13E-06,0.123,0.585,108.781,2016,0.644809,0.372592,0.803,-6.170252,0,0.0789349,0.177463,9.07E-07,0.098769,0.469755,87.351143,1618.848,0.215296,0.464,-3.565376,0,0.0456112,0.102544,5.24E-07,0.057072,0.27144,50.474384,935.424,1,-7.684,0,0.0983,0.221,1.13E-06,0.123,0.585,108.781,2016,59.043856,0,-0.7553372,-1.698164,-8.68E-06,-0.945132,-4.49514,-835.873204,-15490.944,0,0,0,0,0,0,0,0,0.00966289,0.0217243,1.11E-07,0.0120909,0.0575055,10.6931723,198.1728,0.048841,2.50E-07,0.027183,0.129285,24.040601,445.536,1.28E-12,1.39E-07,6.61E-07,0.000122923,0.00227808,0.015129,0.071955,13.380063,247.968,0.342225,63.636885,1179.36,11833.30596,219302.496,4064256,-21435.40655,-4412.498717,1,0
2,1,0.517,0.451,2,-8.275,1,0.145,0.0348,0,0.249,0.074,102.282,2016,0.267289,0.233167,1.034,-4.278175,0.517,0.074965,0.0179916,0,0.128733,0.038258,52.879794,1042.272,0.203401,0.902,-3.732025,0.451,0.065395,0.0156948,0,0.112299,0.033374,46.129182,909.216,4,-16.55,2,0.29,0.0696,0,0.498,0.148,204.564,4032,68.475625,-8.275,-1.199875,-0.28797,0,-2.060475,-0.61235,-846.38355,-16682.4,1,0.145,0.0348,0,0.249,0.074,102.282,2016,0.021025,0.005046,0,0.036105,0.01073,14.83089,292.32,0.00121104,0,0.0086652,0.0025752,3.5594136,70.1568,0,0,0,0,0,0.062001,0.018426,25.468218,501.984,0.005476,7.568868,149.184,10461.60752,206200.512,4064256,-34629.48336,-3975.353622,1,0
3,1,0.628,0.593,8,-5.036,1,0.0323,0.093,1.65E-06,0.096,0.104,125.026,2014,0.394384,0.372404,5.024,-3.162608,0.628,0.0202844,0.058404,1.04E-06,0.060288,0.065312,78.516328,1264.792,0.351649,4.744,-2.986348,0.593,0.0191539,0.055149,9.78E-07,0.056928,0.061672,74.140418,1194.302,64,-40.288,8,0.2584,0.744,1.32E-05,0.768,0.832,1000.208,16112,25.361296,-5.036,-0.1626628,-0.468348,-8.31E-06,-0.483456,-0.523744,-629.630936,-10142.504,1,0.0323,0.093,1.65E-06,0.096,0.104,125.026,2014,0.00104329,0.0030039,5.33E-08,0.0031008,0.0033592,4.0383398,65.0522,0.008649,1.53E-07,0.008928,0.009672,11.627418,187.302,2.72E-12,1.58E-07,1.72E-07,0.000206293,0.0033231,0.009216,0.009984,12.002496,193.344,0.010816,13.002704,209.456,15631.50068,251802.364,4056196,11418.5512,7255.757275,1,81
4,1,0.635,0.735,9,-5.872,1,0.0978,0.0161,1.26E-06,0.151,0.377,107.979,2016,0.403225,0.466725,5.715,-3.72872,0.635,0.062103,0.0102235,8.00E-07,0.095885,0.239395,68.566665,1280.16,0.540225,6.615,-4.31592,0.735,0.071883,0.0118335,9.26E-07,0.110985,0.277095,79.364565,1481.76,81,-52.848,9,0.8802,0.1449,1.13E-05,1.359,3.393,971.811,18144,34.480384,-5.872,-0.5742816,-0.0945392,-7.40E-06,-0.886672,-2.213744,-634.052688,-11837.952,1,0.0978,0.0161,1.26E-06,0.151,0.377,107.979,2016,0.00956484,0.00157458,1.23E-07,0.0147678,0.0368706,10.5603462,197.1648,0.00025921,2.03E-08,0.0024311,0.0060697,1.7384619,32.4576,1.59E-12,1.90E-07,4.75E-07,0.000136054,0.00254016,0.022801,0.056927,16.304829,304.416,0.142129,40.708083,760.032,11659.46444,217685.664,4064256,-23029.89255,181.0926732,1,2
5,1,0.707,0.325,2,-11.774,0,0.0458,0.000462,0,0.119,0.313,118.975,2015,0.499849,0.229775,1.414,-8.324218,0,0.0323806,0.000326634,0,0.084133,0.221291,84.115325,1424.605,0.105625,0.65,-3.82655,0,0.014885,0.00015015,0,0.038675,0.101725,38.666875,654.875,4,-23.548,0,0.0916,0.000924,0,0.238,0.626,237.95,4030,138.627076,0,-0.5392492,-0.005439588,0,-1.401106,-3.685262,-1400.81165,-23724.61,0,0,0,0,0,0,0,0,0.00209764,2.12E-05,0,0.0054502,0.0143354,5.449055,92.287,2.13E-07,0,5.50E-05,0.000144606,0.05496645,0.93093,0,0,0,0,0,0.014161,0.037247,14.158025,239.785,0.097969,37.239175,630.695,14155.05062,239734.625,4060225,-976.3844257,-1861.575561,1,67
6,1,0.648,0.319,5,-8.314,1,0.0352,0.124,0,0.376,0.398,128.041,2015,0.419904,0.206712,3.24,-5.387472,0.648,0.0228096,0.080352,0,0.243648,0.257904,82.970568,1305.72,0.101761,1.595,-2.652166,0.319,0.0112288,0.039556,0,0.119944,0.126962,40.845079,642.785,25,-41.57,5,0.176,0.62,0,1.88,1.99,640.205,10075,69.122596,-8.314,-0.2926528,-1.030936,0,-3.126064,-3.308972,-1064.532874,-16752.71,1,0.0352,0.124,0,0.376,0.398,128.041,2015,0.00123904,0.0043648,0,0.0132352,0.0140096,4.5070432,70.928,0.015376,0,0.046624,0.049352,15.877084,249.86,0,0,0,0,0,0.141376,0.149648,48.143416,757.64,0.158404,50.960318,801.97,16394.49768,258002.615,4060225,17525.88297,667.7376295,1,70
7,1,0.71,0.396,11,-11.247,0,0.0843,0.492,0,0.221,0.63,89.941,2015,0.5041,0.28116,7.81,-7.98537,0,0.059853,0.34932,0,0.15691,0.4473,63.85811,1430.65,0.156816,4.356,-4.453812,0,0.0333828,0.194832,0,0.087516,0.24948,35.616636,797.94,121,-123.717,0,0.9273,5.412,0,2.431,6.93,989.351,22165,126.495009,0,-0.9481221,-5.533524,0,-2.485587,-7.08561,-1011.566427,-22662.705,0,0,0,0,0,0,0,0,0.00710649,0.0414756,0,0.0186303,0.053109,7.5820263,169.8645,0.242064,0,0.108732,0.30996,44.250972,991.38,0,0,0,0,0,0.048841,0.13923,19.876961,445.315,0.3969,56.66283,1269.45,8089.383481,181231.115,4060225,-59782.66979,3434.143646,1,74
8,1,0.434,0.281,9,-7.828,1,0.0294,0.18,1.01E-05,0.142,0.318,128.973,2015,0.188356,0.121954,3.906,-3.397352,0.434,0.0127596,0.07812,4.38E-06,0.061628,0.138012,55.974282,874.51,0.078961,2.529,-2.199668,0.281,0.0082614,0.05058,2.84E-06,0.039902,0.089358,36.241413,566.215,81,-70.452,9,0.2646,1.62,9.09E-05,1.278,2.862,1160.757,18135,61.277584,-7.828,-0.2301432,-1.40904,-7.91E-05,-1.111576,-2.489304,-1009.600644,-15773.42,1,0.0294,0.18,1.01E-05,0.142,0.318,128.973,2015,0.00086436,0.005292,2.97E-07,0.0041748,0.0093492,3.7918062,59.241,0.0324,1.82E-06,0.02556,0.05724,23.21514,362.7,1.02E-10,1.43E-06,3.21E-06,0.001302627,0.0203515,0.020164,0.045156,18.314166,286.13,0.101124,41.013414,640.77,16634.03473,259880.595,4060225,19420.37534,2764.047546,1,68
9,1,0.561,0.368,8,-7.351,1,0.0338,0.0763,1.99E-06,0.1,0.237,101.978,2015,0.314721,0.206448,4.488,-4.123911,0.561,0.0189618,0.0428043,1.12E-06,0.0561,0.132957,57.209658,1130.415,0.135424,2.944,-2.705168,0.368,0.0124384,0.0280784,7.32E-07,0.0368,0.087216,37.527904,741.52,64,-58.808,8,0.2704,0.6104,1.59E-05,0.8,1.896,815.824,16120,54.037201,-7.351,-0.2484638,-0.5608813,-1.46E-05,-0.7351,-1.742187,-749.640278,-14812.265,1,0.0338,0.0763,1.99E-06,0.1,0.237,101.978,2015,0.00114244,0.00257894,6.73E-08,0.00338,0.0080106,3.4468564,68.107,0.00582169,1.52E-07,0.00763,0.0180831,7.7809214,153.7445,3.96E-12,1.99E-07,4.72E-07,0.000202936,0.00400985,0.01,0.0237,10.1978,201.5,0.056169,24.168786,477.555,10399.51248,205485.67,4060225,-35296.91213,3127.465283,1,70
